Date Completed,Manufacturer,Model,Physical Class (Engine),# Engines,AAC,ADG,TDG,"Approach Speed
(Vref)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",MTOW,"Max Ramp
Max Taxi",Main Gear Config,ICAO Code,Wake Category,ATCT Weight Class,Years Manufactured
2018-07-03,Acro Sport,Acro Sport,Piston,1.0,A,I,,55.9,19.583333333333332,no winglets,17.5,6.0,,,,1350.0,1520.0,S,ACRO,L,Small Eqpt,
2018-07-03,Acro Sport,Super Acro Sport,Piston,1.0,A,I,,55.9,19.583333333333332,no winglets,17.5,,,,,1350.0,1350.0,S,ACRO,L,Small Eqpt,
2018-07-03,Acro Sport,Cougar,Piston,1.0,A,I,,45.5,20.5,no winglets,18.916666666666668,5.5,,,,1250.0,1250.0,S,COUG,L,Small Eqpt,
2018-06-01,Acro Sport,Acro Sport II,Piston,1.0,A,I,,59.800000000000004,21.666666666666668,no winglets,18.854166666666668,6.645833333333333,,,,1520.0,1520.0,S,ACR2,L,Small Eqpt,
2018-07-03,Acro Sport,Junior Ace,Piston,1.0,A,I,,49.4,26.5,no winglets,18.0,,,,,1225.0,1225.0,S,JACE,L,Small Eqpt,
2018-07-03,Acro Sport,Super Ace,Piston,1.0,A,I,,49.4,27.291666666666668,no winglets,18.5,6.5,,,,1030.0,1030.0,S,SACE,L,Small Eqpt,
2018-07-03,Adam Aircraft Industries,A-500,Piston,2.0,B,I,1A,97.5,44.0,small winglets,37.5,9.583333333333334,10.104166666666666,10.104166666666666,11.708333333333334,7000.0,7050.0,S,A500,L,,
2018-07-03,Adam Aircraft Industries,A-700 AdamJet,Jet,2.0,B,I,,94.9,44.0,small winglets,40.75,9.583333333333334,,,,7600.0,7650.0,S,A700,L,,
2018-05-31,Aeritalia,G222,Turboprop,2.0,B,III,1B,109.2,94.16666666666667,no winglets,74.45833333333333,32.145833333333336,20.4375,20.4375,12.041666666666666,61730.0,61730.0,2S,G222,M,,
2018-07-03,Aermacchi / Macchi,SIAI-Marchetti SF.260 (now Leonardo SF-260),Piston,1.0,A,I,,74.10000000000001,26.979166666666668,no winglets,23.0,8.5,,,,2866.0,,S,F260,L,,
